State,District,Crop,Season,Year,Area_Hectares,Production_Tonnes,Yield_t_per_ha,Soil_Type,Water_Requirement,Climate,Fertilizer
Andhra Pradesh,Andhra Pradesh District,Cotton,Kharif,2016,19151,101691,5.31,Red,Low,Semi-Arid,Urea
Andhra Pradesh,Andhra Pradesh District,Jute,Kharif,2016,21851,70141,3.21,Alluvial,Medium,Tropical,Urea
Andhra Pradesh,Andhra Pradesh District,Coconut,Kharif,2016,20404,100591,4.93,Loam,Medium,Humid,DAP + Urea
Andhra Pradesh,Andhra Pradesh District,Banana,Kharif,2016,3849,21400,5.56,Alluvial,Low,Mountain,NPK
Andhra Pradesh,Andhra Pradesh District,Coffee,Rabi,2016,22994,56795,2.47,Loam,Low,Mountain,DAP + Urea
Andhra Pradesh,Andhra Pradesh District,Rubber,Rabi,2016,16746,66816,3.99,Black,High,Temperate,Urea
Andhra Pradesh,Andhra Pradesh District,Jowar,Zaid,2016,1204,4057,3.37,Loam,Low,Temperate,Organic + NPK
Andhra Pradesh,Andhra Pradesh District,Sugarcane,Zaid,2016,24851,74553,3,Loam,High,Semi-Arid,Potash
Andhra Pradesh,Andhra Pradesh District,Soybean,Rabi,2016,10440,29023,2.78,Sandy,High,Semi-Arid,Potash
Andhra Pradesh,Andhra Pradesh District,Wheat,Rabi,2016,16236,42051,2.59,Laterite,High,Temperate,Organic + NPK
Andhra Pradesh,Andhra Pradesh District,Onion,Zaid,2016,29425,137120,4.66,Loam,Medium,Tropical,Urea
Andhra Pradesh,Andhra Pradesh District,Potato,Zaid,2016,4036,20180,5,Sandy,Medium,Humid,Urea
Andhra Pradesh,Andhra Pradesh District,Rice,Zaid,2017,15878,26992,1.7,Sandy,High,Mountain,Potash
Andhra Pradesh,Andhra Pradesh District,Coffee,Zaid,2017,21706,49272,2.27,Black,Low,Temperate,Potash
Andhra Pradesh,Andhra Pradesh District,Onion,Rabi,2017,8107,26915,3.32,Sandy,High,Humid,Urea
Andhra Pradesh,Andhra Pradesh District,Bajra,Zaid,2017,22101,87740,3.97,Alluvial,Medium,Mountain,DAP + Urea
Andhra Pradesh,Andhra Pradesh District,Potato,Rabi,2017,25973,104671,4.03,Alluvial,Medium,Humid,Potash
Andhra Pradesh,Andhra Pradesh District,Onion,Rabi,2017,7048,40385,5.73,Laterite,Medium,Semi-Arid,Organic + NPK
Andhra Pradesh,Andhra Pradesh District,Rice,Zaid,2017,18144,71305,3.93,Red,Medium,Mountain,NPK
Andhra Pradesh,Andhra Pradesh District,Mustard,Zaid,2017,21319,49033,2.3,Black,Low,Mountain,Organic + NPK
Andhra Pradesh,Andhra Pradesh District,Wheat,Kharif,2017,28082,161471,5.75,Alluvial,Low,Semi-Arid,NPK
Andhra Pradesh,Andhra Pradesh District,Bajra,Zaid,2017,8677,23514,2.71,Black,Medium,Humid,NPK
Andhra Pradesh,Andhra Pradesh District,Groundnut,Kharif,2017,5730,15184,2.65,Loam,Medium,Humid,Urea
Andhra Pradesh,Andhra Pradesh District,Ragi,Kharif,2017,16769,60871,3.63,Red,Medium,Humid,Urea
Andhra Pradesh,Andhra Pradesh District,Soybean,Zaid,2018,8967,17844,1.99,Clay Loam,Low,Mountain,Urea
Andhra Pradesh,Andhra Pradesh District,Rice,Kharif,2018,7885,12458,1.58,Alluvial,High,Temperate,Urea
Andhra Pradesh,Andhra Pradesh District,Potato,Kharif,2018,22722,77709,3.42,Loam,High,Mountain,Urea
Andhra Pradesh,Andhra Pradesh District,Mustard,Rabi,2018,17667,78088,4.42,Loam,High,Humid,Urea
Andhra Pradesh,Andhra Pradesh District,Wheat,Kharif,2018,24664,70045,2.84,Alluvial,Medium,Tropical,NPK
Andhra Pradesh,Andhra Pradesh District,Jowar,Rabi,2018,10260,49760,4.85,Clay Loam,Medium,Temperate,NPK
Andhra Pradesh,Andhra Pradesh District,Onion,Zaid,2018,29293,156131,5.33,Sandy,Low,Mountain,Urea
Andhra Pradesh,Andhra Pradesh District,Groundnut,Zaid,2018,27629,149472,5.41,Clay Loam,High,Tropical,Urea
